"genus","family_dropped","family_wcvp"
"Acanthosyris","Cervantesiaceae","Santalaceae"
"Acroglochin","Chenopodiaceae","Amaranthaceae"
"Adoxa","Adoxaceae","Viburnaceae"
"Agathelpis","Scrophulariaceae","Plantaginaceae"
"Agdestis","Agdestidaceae","Phytolaccaceae"
"Agriophyllum","Chenopodiaceae","Amaranthaceae"
"Albuca","Hyacinthaceae","Asparagaceae"
"Allantospermum","Ixonanthaceae","Irvingiaceae"
"Allenrolfea","Chenopodiaceae","Amaranthaceae"
"Alrawia","Hyacinthaceae","Asparagaceae"
"Amphorogyne","Amphorogynaceae","Santalaceae"
"Anabasis","Chenopodiaceae","Amaranthaceae"
"Anacolosa","Aptandraceae","Olacaceae"
"Anchistea","Blechnaceae","Aspleniaceae"
"Androya","Loganiaceae","Scrophulariaceae"
"Anthobolus","Opiliaceae","Santalaceae"
"Anthochlamys","Chenopodiaceae","Amaranthaceae"
"Aphanisma","Chenopodiaceae","Amaranthaceae"
"Aptandra","Aptandraceae","Olacaceae"
"Apterosperma","Pentaphylacaceae","Theaceae"
"Arceuthobium","Viscaceae","Santalaceae"
"Archiatriplex","Chenopodiaceae","Amaranthaceae"
"Arthrocaulon","Chenopodiaceae","Amaranthaceae"
"Arthroceras","Chenopodiaceae","Amaranthaceae"
"Arthrophytum","Chenopodiaceae","Amaranthaceae"
"Asarum","Asaraceae","Aristolochiaceae"
"Aspidium","Dryopteridaceae","Tectariaceae"
"Athyrium","Athyriaceae","Aspleniaceae"
"Atriplex","Chenopodiaceae","Amaranthaceae"
"Austroblechnum","Blechnaceae","Aspleniaceae"
"Autonoe","Hyacinthaceae","Asparagaceae"
"Avonsera","Hyacinthaceae","Asparagaceae"
"Axyris","Chenopodiaceae","Amaranthaceae"
"Balthasaria","Pentaphylacaceae","Theaceae"
"Baolia","Chenopodiaceae","Amaranthaceae"
"Bassia","Chenopodiaceae","Amaranthaceae"
"Battandiera","Hyacinthaceae","Asparagaceae"
"Bellevalia","Hyacinthaceae","Asparagaceae"
"Belvisia","Lecythidaceae","Polypodiaceae"
"Beta","Chenopodiaceae","Amaranthaceae"
"Bienertia","Chenopodiaceae","Amaranthaceae"
"Blitum","Chenopodiaceae","Amaranthaceae"
"Bosea","Boseaceae","Amaranthaceae"
"Bourreria","Ehretiaceae","Boraginaceae"
"Bowenia","Cycadaceae","Zamiaceae"
"Bowiea","Hyacinthaceae","Asparagaceae"
"Brimeura","Hyacinthaceae","Asparagaceae"
"Buchnera","Erwiniaceae","Orobanchaceae"
"Buckleya","Thesiaceae","Santalaceae"
"Calatola","Metteniusaceae","Icacinaceae"
"Camphorosma","Chenopodiaceae","Amaranthaceae"
"Camptoloma","Plantaginaceae","Scrophulariaceae"
"Caroxylon","Chenopodiaceae","Amaranthaceae"
"Cathedra","Aptandraceae","Olacaceae"
"Centipeda","Selenomonadaceae","Asteraceae"
"Ceratocarpus","Chenopodiaceae","Amaranthaceae"
"Cervantesia","Cervantesiaceae","Santalaceae"
"Chaetocarpus","Euphorbiaceae","Peraceae"
"Chaunochiton","Aptandraceae","Olacaceae"
"Chenolea","Chenopodiaceae","Amaranthaceae"
"Chenopodiastrum","Chenopodiaceae","Amaranthaceae"
"Chenopodium","Chenopodiaceae","Amaranthaceae"
"Choretrum","Amphorogynaceae","Santalaceae"
"Cleistoblechnum","Blechnaceae","Aspleniaceae"
"Climacoptera","Chenopodiaceae","Amaranthaceae"
"Codon","Codonaceae","Boraginaceae"
"Coldenia","Coldeniaceae","Boraginaceae"
"Comandra","Comandraceae","Santalaceae"
"Corbichonia","Corbichoniaceae","Lophiocarpaceae"
"Cordia","Cordiaceae","Boraginaceae"
"Corispermum","Chenopodiaceae","Amaranthaceae"
"Cornulaca","Chenopodiaceae","Amaranthaceae"
"Coula","Coulaceae","Olacaceae"
"Cranfillia","Blechnaceae","Aspleniaceae"
"Cubitanthus","Linderniaceae","Gesneriaceae"
"Curupira","Ximeniaceae","Olacaceae"
"Cyathobasis","Chenopodiaceae","Amaranthaceae"
"Cycloloma","Chenopodiaceae","Amaranthaceae"
"Dactylanthus","Mystropetalaceae","Balanophoraceae"
"Daenikera","Amphorogynaceae","Santalaceae"
"Daubenya","Hyacinthaceae","Asparagaceae"
"Dendrobangia","Metteniusaceae","Cardiopteridaceae"
"Dendromyza","Amphorogynaceae","Santalaceae"
"Dendrophthora","Viscaceae","Santalaceae"
"Dendrotrophe","Amphorogynaceae","Santalaceae"
"Didymanthus","Chenopodiaceae","Amaranthaceae"
"Dimorphocalyx","Picrodendraceae","Euphorbiaceae"
"Diogoa","Strombosiaceae","Olacaceae"
"Dipcadi","Hyacinthaceae","Asparagaceae"
"Dissocarpus","Chenopodiaceae","Amaranthaceae"
"Dodartia","Phrymaceae","Mazaceae"
"Draconopteris","Pteridryaceae","Tectariaceae"
