"genus","family","why"
"Bergera","Rutaceae","Bergera J.Konig ex L. is Rutaceae; Hymenophyllaceae is a fern family"
"Leichhardtia","Apocynaceae","Leichhardtia R.Br. is Apocynaceae, not Phyllanthaceae"
"Stenanthera","Ericaceae","Stenanthera R.Br. is Ericaceae; the Annonaceae homonym is a synonym of Sphaerocoryne"
"Neuroloma","Brassicaceae","Neuroloma Andrz. ex DC. is Brassicaceae; Andreaeaceae is a moss family"
"Calatola","Metteniusaceae","APG IV"
"Dendrobangia","Metteniusaceae","APG IV"
"Emmotum","Metteniusaceae","APG IV"
"Oecopetalum","Metteniusaceae","APG IV"
"Ottoschulzia","Metteniusaceae","APG IV"
"Platea","Metteniusaceae","APG IV"
"Anthobolus","Opiliaceae","moved out of Santalaceae in the Santalales reclassification"
"Chaetachme","Cannabaceae","APG IV, no longer Ulmaceae"
"Dimorphopetalum","Francoaceae","APG IV, no longer Saxifragaceae"
"Empleuridium","Celastraceae","moved out of Rutaceae"
"Euryodendron","Pentaphylacaceae","APG IV, Ternstroemiaceae sunk into Pentaphylacaceae"
"Hellenia","Costaceae","Hellenia speciosa, formerly Costus; Costaceae not Zingiberaceae"
"Kingdonia","Circaeasteraceae","APG IV; our Circaeaster is already Circaeasteraceae"
"Limosella","Scrophulariaceae","tribe Limoselleae, not Plantaginaceae"
"Platyspermation","Alseuosmiaceae","APG IV, no longer Escalloniaceae"
"Pseudomisopates","Plantaginaceae","Antirrhineae, not Scrophulariaceae"
"Telephium","Caryophyllaceae","moved out of Molluginaceae"
"Whipplea","Hydrangeaceae","not Saxifragaceae"
"Chodaphyton","Plantaginaceae","segregate of Stemodia, not Scrophulariaceae"
"Matourea","Plantaginaceae","Gratioleae, not Scrophulariaceae"
"Athyrium","Athyriaceae","PPG I; our Deparia and Diplazium are already Athyriaceae"
